;rich_coeff;rich_pvalue;ab_coeff;ab_pvalue
quiet;0.9818387896007403;1.4772024485038714e-05;0.9831518918480708;0.002618544531370557
ambient_sound;0.9691071272838029;7.201080701996496e-05;0.9893639603873323;0.0013146486110729102
rain_pw01;0.9706173719502361;6.202858342773358e-05;0.9713640241512291;0.005791986442603981
rain_pw02;0.9161907585083484;0.001380732746148029;0.9368101592873147;0.0188862148066318
rain_pw03;0.911323753070644;0.0016293759804083862;0.6674089257521341;0.21839793505633118
wind_pw01;0.9469049676984183;0.00035945537082612806;0.9690171161229577;0.006516102597642063
wind_pw02;0.9749369605503783;3.862261438097157e-05;0.9911660512920897;0.0009953821541888745
wind_pw03;0.9596733927049095;0.00015903266778799556;0.9754601373650721;0.004597660906769526
aircraft_pw01;0.957703371138027;0.00018322193685525715;0.968702932143973;0.0066151539103066525
aircraft_pw02;0.9489928579591831;0.00031920445910336835;0.9761922081738563;0.004393953870086653
tettigonia_veridissima;0.9491552748035395;0.00031620414063476127;0.9839761636189452;0.0024290530075392444
