;rich_coeff;rich_pvalue;ab_coeff;ab_pvalue
quiet;0.8422578500286979;0.00868831256823275;0.8659270736784874;0.05773149517187965
ambient_sound;0.8950411776679315;0.0026678855153210858;0.9578052555280531;0.0103384019636453
rain_pw01;-0.3138842925189137;0.44898055574271023;-0.18557048725076247;0.7650874905796051
rain_pw02;-0.6796604903165455;0.06370162980498104;-0.6678100458922867;0.2180176965751108
rain_pw03;-0.5035337850650756;0.203321785447343;0.08279887731758204;0.8946977763627977
wind_pw01;0.9334302553778051;0.0007011828245127563;0.9774393379466971;0.004054025217197633
wind_pw02;0.9811253607806436;1.6573251954962602e-05;0.9872290683393711;0.0017291554041136466
wind_pw03;0.9593378492244007;0.00016299394168498696;0.9480553014704671;0.014100437128619317
aircraft_pw01;0.9651484975090354;0.00010308201719753863;0.9662001890416987;0.007421489544553905
aircraft_pw02;0.9096487234558909;0.001721230711758036;0.9507106903417897;0.013038443411236224
tettigonia_veridissima;0.8639339843419482;0.005672604093902629;0.932316688620575;0.0209217142788899
