;fullfilename;filename;categories;mean_dB;dBmax_ratio;psd_factor;rms_power;rms_ratio;ratio_mean;ratio_std;norm_filename;norm_fullfilename;rms
S4A03544_20190727_040000.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190727_040000.wav;S4A03544_20190727_040000.wav;rain_pw01;58.95890712738037;0.0088704439566211;7.134094648364453e-09;0.0198017098009586;0.5025663159563093;1.0000000000000002;0.3434121234566905;S4A03544_20190727_040000_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190727_040000_norm.wav;
S4A03544_20190727_041500.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190727_041500.wav;S4A03544_20190727_041500.wav;rain_pw02;58.91395092010498;0.0088246511466443;7.297268123096501e-09;0.0197411999106407;0.4827451180079342;1.0;0.3554788989447762;S4A03544_20190727_041500_norm.wav;../Evascape_soundfiles/background_channel/rain_pw02/S4A03544_20190727_041500_norm.wav;
S4A03544_20190727_044500.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190727_044500.wav;S4A03544_20190727_044500.wav;rain_pw01;59.544429779052734;0.0094890227738566;6.11073058820466e-09;0.021404031664133;0.5432331575495966;1.0000000000000002;0.3434121234566905;S4A03544_20190727_044500_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190727_044500_norm.wav;
S4A03544_20190727_231500.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190727_231500.wav;S4A03544_20190727_231500.wav;rain_pw01;58.68532180786133;0.0085953999672661;6.655802131660948e-09;0.0191995836794376;0.4872843877957816;1.0000000000000002;0.3434121234566905;S4A03544_20190727_231500_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190727_231500_norm.wav;
S4A03544_20190727_233000.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190727_233000.wav;S4A03544_20190727_233000.wav;rain_pw02;58.711867332458496;0.0086217091224675;7.452946704233911e-09;0.0192565880715847;0.4708945719169116;1.0;0.3554788989447762;S4A03544_20190727_233000_norm.wav;../Evascape_soundfiles/background_channel/rain_pw02/S4A03544_20190727_233000_norm.wav;
S4A03544_20190728_231500.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190728_231500.wav;S4A03544_20190728_231500.wav;rain_pw01;58.74055862426758;0.0086502355010749;2.31966112984594e-09;0.0193173810839653;0.4902740795051216;1.0000000000000002;0.3434121234566905;S4A03544_20190728_231500_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190728_231500_norm.wav;
S4A03544_20190729_010000.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190729_010000.wav;S4A03544_20190729_010000.wav;rain_pw01;58.58084678649902;0.0084926326559017;1.4098630041203821e-09;0.0189794525504112;0.4816974717337781;1.0000000000000002;0.3434121234566905;S4A03544_20190729_010000_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190729_010000_norm.wav;
S4A03544_20190729_013000.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190729_013000.wav;S4A03544_20190729_013000.wav;rain_pw01;58.62786769866944;0.0085387320412955;9.72773084306766e-10;0.0190654639154672;0.4838804354930234;1.0000000000000002;0.3434121234566905;S4A03544_20190729_013000_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190729_013000_norm.wav;
S4A03544_20190729_020000.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190729_020000.wav;S4A03544_20190729_020000.wav;rain_pw01;58.50977897644043;0.0084234295667291;7.349393316147256e-10;0.0188094209879636;0.4773820799421348;1.0000000000000002;0.3434121234566905;S4A03544_20190729_020000_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190729_020000_norm.wav;
S4A03544_20190729_021500.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190729_021500.wav;S4A03544_20190729_021500.wav;rain_pw01;58.55919361114502;0.0084714876208993;1.1360937746118791e-09;0.0189199708402156;0.4801878291695634;1.0000000000000002;0.3434121234566905;S4A03544_20190729_021500_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190729_021500_norm.wav;
S4A03544_20190729_024500.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190729_024500.wav;S4A03544_20190729_024500.wav;rain_pw01;58.49321842193604;0.0084073847201715;8.195101819374884e-10;0.0187805332243442;0.4766489100752717;1.0000000000000002;0.3434121234566905;S4A03544_20190729_024500_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190729_024500_norm.wav;
S4A03544_20190729_030000.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190729_030000.wav;S4A03544_20190729_030000.wav;rain_pw01;58.5245943069458;0.0084378094851444;1.382832848229043e-09;0.0188442133367061;0.4782651078577409;1.0000000000000002;0.3434121234566905;S4A03544_20190729_030000_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190729_030000_norm.wav;
S4A03544_20190729_033000.wav;C:/Users/ecoac-field/OneDrive/Documents/Articles-Recherches/Reconstructor/Samples/channel_2\geophony\rain\S4A03544_20190729_033000.wav;S4A03544_20190729_033000.wav;rain_pw01;58.50313186645508;0.0084169857773078;7.07107816744212e-10;0.0188006684184074;0.4771599402036353;1.0000000000000002;0.3434121234566905;S4A03544_20190729_033000_norm.wav;../Evascape_soundfiles/background_channel/rain_pw01/S4A03544_20190729_033000_norm.wav;
