;filename;fullfilename;sample_id;channel2;richness;abundance;erirub;fricoe;perate;phycol;regreg;sylatr;turmer;turphi;nROI;aROI;ACI;H;NDSI;ADI;BI
3346;evascape_rain_pw03_rich7_ab1_n7;Database_20240315_Desync/evascape_rain_pw03_rich7_ab1_n7.wav;7;rain_pw03;7;1;1;1;1;1;1;1;0;1;20.007621951219512;0.034782713898567554;319.64563;0.8650876637688345;0.6567923;2.1195759361860413;85.96409863945578
3347;evascape_rain_pw03_rich7_ab1_n8;Database_20240315_Desync/evascape_rain_pw03_rich7_ab1_n8.wav;8;rain_pw03;7;1;1;1;1;1;1;0;1;1;67.02553353658537;0.15138042005420055;353.33673;0.7737054413470552;0.5348735;1.9698606561731968;93.43986961451247
3348;evascape_rain_pw03_rich7_ab1_n9;Database_20240315_Desync/evascape_rain_pw03_rich7_ab1_n9.wav;9;rain_pw03;7;1;1;1;1;1;1;1;0;1;26.009908536585364;0.05474496709252807;326.0032;0.8543054917117134;0.6701014;2.1709314198600236;85.84908163265307
3349;evascape_rain_pw03_rich7_ab1_n10;Database_20240315_Desync/evascape_rain_pw03_rich7_ab1_n10.wav;10;rain_pw03;7;1;1;1;0;1;1;1;1;1;16.00609756097561;0.02015128968253968;323.688;0.8504889462739745;0.6581042;2.182301297179404;84.2217120181406
3350;evascape_wind_pw01_rich7_ab1_n1;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n1.wav;1;wind_pw01;7;1;1;1;1;1;0;1;1;1;166.06326219512195;0.6744821912504839;312.4019;0.8971545898567503;0.17252927;0.9975769323230503;34.363982426303856
3351;evascape_wind_pw01_rich7_ab1_n2;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n2.wav;2;wind_pw01;7;1;0;1;1;1;1;1;1;1;230.0876524390244;2.325942762775842;330.15573;0.8595882853571479;0.21637034;1.2909287352343106;51.43151927437642
3352;evascape_wind_pw01_rich7_ab1_n3;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n3.wav;3;wind_pw01;7;1;1;0;1;1;1;1;1;1;286.108993902439;1.902425413763066;353.092;0.813930831875443;0.21828151;1.909446707432116;60.203219954648524
3353;evascape_wind_pw01_rich7_ab1_n4;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n4.wav;4;wind_pw01;7;1;1;1;1;1;1;1;0;1;284.1082317073171;2.0057149511227257;329.71506;0.8557780991999423;0.16421942;1.2470008130452066;51.94921768707483
3354;evascape_wind_pw01_rich7_ab1_n5;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n5.wav;5;wind_pw01;7;1;1;1;1;1;1;0;1;1;254.0967987804878;2.33059306039489;349.2783;0.8149421146232677;0.26718327;1.9361188439394095;60.81539115646258
3355;evascape_wind_pw01_rich7_ab1_n6;Database_20240315_Desync/evascape_wind_pw01_rich7_ab1_n6.wav;6;wind_pw01;7;1;1;1;0;1;1;1;1;1;212.08079268292684;1.2855615442315136;316.2751;0.8025295207099302;0.28838545;1.295496798156539;44.909090136054424
