filename;fullfilename;sample_id;channel2;richness;abundance;erirub;fricoe;perate;phycol;regreg;sylatr;turmer;turphi;nROI;aROI;ACI;H;NDSI;ADI;BI
Evascape_rain_pw03_rich6_ab1_n17;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n17.wav;17;rain_pw03;6;1;1;1;1;1;1;0;0;1;3.0011432926829267;0.0080529544134727;337.98917;0.8394995534636475;0.53008634;2.188175855137256;98.78854875283449
Evascape_rain_pw03_rich6_ab1_n18;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n18.wav;18;rain_pw03;6;1;1;1;1;0;1;1;1;0;1.0003810975609757;0.0051039851916376;348.95343;0.7961535471982328;0.5309397;2.123318336003664;93.2418820861678
Evascape_rain_pw03_rich6_ab1_n19;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n19.wav;19;rain_pw03;6;1;1;1;1;0;1;1;0;1;1.0003810975609757;0.0022306305652342;317.01624;0.845570977084243;0.6512622;2.2085225913607216;87.46808390022676
Evascape_rain_pw03_rich6_ab1_n20;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n20.wav;20;rain_pw03;6;1;1;1;1;1;0;0;1;1;60.02286585365854;0.1706999491869918;354.48373;0.771687646673766;0.54189163;2.055624116552218;94.4045238095238
Evascape_rain_pw03_rich6_ab1_n21;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n21.wav;21;rain_pw03;6;1;1;1;0;1;0;1;1;1;5.001905487804878;0.0081285690089043;323.8216;0.8504827214151932;0.65813404;2.167806366239502;83.98098639455782
Evascape_rain_pw03_rich6_ab1_n22;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n22.wav;22;rain_pw03;6;1;1;0;0;1;1;1;1;1;2.0007621951219514;0.0044612611304684;346.09525;0.812686982025317;0.530252;2.1294151501127807;95.90543083900226
Evascape_rain_pw03_rich6_ab1_n23;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n23.wav;23;rain_pw03;6;1;0;1;1;1;0;1;1;1;7.0026676829268295;0.0108506944444444;345.98355;0.8130863046865938;0.5304379;2.123722346463279;95.88655328798184
Evascape_rain_pw03_rich6_ab1_n24;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n24.wav;24;rain_pw03;6;1;1;1;1;0;1;0;1;1;0.0;0.0003024583817266;316.1922;0.8449189518122814;0.6489377;2.2083775508327617;87.26674603174604
Evascape_rain_pw03_rich6_ab1_n25;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n25.wav;25;rain_pw03;6;1;0;1;1;1;1;1;1;0;0.0;0.0003024583817266;316.81854;0.8451796162902828;0.6503081;2.211679877747128;87.34501133786848
Evascape_rain_pw03_rich6_ab1_n26;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n26.wav;26;rain_pw03;6;1;1;0;1;1;1;1;0;1;1.0003810975609757;0.0033270421989934;345.95905;0.8127461128915037;0.53063184;2.1299698328385275;95.93913832199549
Evascape_rain_pw03_rich6_ab1_n27;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_rain_pw03_rich6_ab1_n27.wav;27;rain_pw03;6;1;0;1;1;1;1;1;0;1;20.007621951219512;0.0482043045876887;339.0837;0.8418341974863595;0.54067695;2.188262000802306;99.97256235827663
