filename;fullfilename;sample_id;channel2;richness;abundance;erirub;fricoe;perate;phycol;regreg;sylatr;turmer;turphi;nROI;aROI;ACI;H;NDSI;ADI;BI
Evascape_no_background_rich1_ab1_n1;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n1.wav;1;no_background;1;1;0;0;0;0;0;0;0;1;160.0609756097561;8.38274747144793;384.2802;0.6839310613926243;0.9454309;1.7234920277491506;155.93331065759637
Evascape_no_background_rich1_ab1_n2;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n2.wav;2;no_background;1;1;0;1;0;0;0;0;0;0;23.008765243902438;2.488589757549361;392.63483;0.5823813108987135;0.958437;1.2899149690193257;76.37836734693877
Evascape_no_background_rich1_ab1_n3;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n3.wav;3;no_background;1;1;0;0;0;0;0;0;1;0;43.01638719512195;0.9579991168215254;349.0473;0.5674613983672736;0.5552468;0.8874827772976646;38.951831065759634
Evascape_no_background_rich1_ab1_n4;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n4.wav;4;no_background;1;1;0;0;0;0;0;1;0;0;42.016006097560975;2.4949791908633374;338.25934;0.4943612467831911;0.92707425;0.9853854926014156;58.16505668934241
Evascape_no_background_rich1_ab1_n5;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n5.wav;5;no_background;1;1;0;0;0;1;0;0;0;0;28.010670731707318;0.6100963632404182;441.5112;0.479350111415401;0.96386266;1.3741474886335419;68.44413832199547
Evascape_no_background_rich1_ab1_n6;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n6.wav;6;no_background;1;1;1;0;0;0;0;0;0;0;31.011814024390244;1.6991733812427408;385.74887;0.5852963046281122;0.95526415;1.3182192603751952;65.77138321995464
Evascape_no_background_rich1_ab1_n7;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n7.wav;7;no_background;1;1;0;0;0;0;1;0;0;0;112.04268292682927;1.0603434717382887;421.88968;0.6767957067948025;0.8678643;1.2732764162276866;40.19768707482993
Evascape_no_background_rich1_ab1_n8;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n8.wav;8;no_background;1;1;0;0;1;0;0;0;0;0;79.03010670731707;1.5634829897406117;394.30264;0.5689612590377112;0.9463149;1.065995400068385;55.4474433106576
Evascape_no_background_rich1_ab1_n9;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n9.wav;9;no_background;1;1;0;0;0;1;0;0;0;0;75.02858231707317;1.208132198509485;436.78308;0.5707504832249896;0.9537067;1.3857510950055794;65.18332766439909
Evascape_no_background_rich1_ab1_n10;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n10.wav;10;no_background;1;1;0;0;0;0;0;0;1;0;95.03620426829268;1.4623862756484707;382.9602;0.6002815775425925;0.6675103;1.0906666713515802;46.07268424036281
Evascape_no_background_rich1_ab1_n11;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n11.wav;11;no_background;1;1;0;0;0;0;0;0;0;1;41.015625;2.016414416376307;326.35468;0.5123622347225424;0.8982027;0.9113057105984953;56.08419501133787
Evascape_no_background_rich1_ab1_n12;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n12.wav;12;no_background;1;1;0;0;0;0;1;0;0;0;62.02362804878049;0.507222706155633;457.61646;0.6520357129864284;0.8160393;0.9308427083460425;29.82452380952381
Evascape_no_background_rich1_ab1_n13;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n13.wav;13;no_background;1;1;0;0;1;0;0;0;0;0;48.01829268292683;0.8856359489934185;428.3534;0.6275682095489822;0.8963971;1.2846650817358407;42.354617346938774
Evascape_no_background_rich1_ab1_n14;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n14.wav;14;no_background;1;1;0;1;0;0;0;0;0;0;12.004573170731707;1.5049194855787844;367.72137;0.5546104635575687;0.9523615;1.3675400163338212;65.8008560090703
Evascape_no_background_rich1_ab1_n15;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n15.wav;15;no_background;1;1;1;0;0;0;0;0;0;0;37.0141006097561;3.2082516695702674;371.84164;0.5619910940041679;0.97471225;1.120436211756608;88.35478458049887
Evascape_no_background_rich1_ab1_n16;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n16.wav;16;no_background;1;1;0;0;0;0;0;1;0;0;77.02934451219512;1.413766090785908;387.1131;0.6040942995243958;0.88965195;1.3589962281453718;50.84917800453515
Evascape_no_background_rich1_ab1_n17;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n17.wav;17;no_background;1;1;0;0;0;0;0;1;0;0;26.009908536585364;4.731356465350368;349.0319;0.528878989477674;0.9629019;1.1671824066162642;83.60275510204082
Evascape_no_background_rich1_ab1_n18;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n18.wav;18;no_background;1;1;0;0;0;0;1;0;0;0;33.0125762195122;0.9060140824622531;385.61002;0.6128553932174612;0.87067735;0.7934427372702526;35.627324263038545
Evascape_no_background_rich1_ab1_n19;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n19.wav;19;no_background;1;1;1;0;0;0;0;0;0;0;52.01981707317073;2.0314617208672088;380.18622;0.5369081802839548;0.9646727;1.0558646204868238;69.28274943310657
Evascape_no_background_rich1_ab1_n20;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n20.wav;20;no_background;1;1;0;0;1;0;0;0;0;0;36.013719512195124;1.8158845092915215;410.1657;0.5678935708278385;0.96644235;1.0921026913202492;59.146921768707486
Evascape_no_background_rich1_ab1_n21;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n21.wav;21;no_background;1;1;0;0;0;0;0;0;0;1;82.03125;4.885572432733256;422.2804;0.6138592485560977;0.9627363;1.9226962715553448;166.6357029478458
Evascape_no_background_rich1_ab1_n22;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n22.wav;22;no_background;1;1;0;0;0;0;0;0;1;0;35.01333841463415;1.0478292561943476;349.06232;0.5415955564987269;0.61371785;0.9868022015177925;40.68111678004535
Evascape_no_background_rich1_ab1_n23;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n23.wav;23;no_background;1;1;0;1;0;0;0;0;0;0;15.005716463414634;2.165299554781262;402.75366;0.5574136890479855;0.9599667;1.4973450197516567;85.49964285714286
Evascape_no_background_rich1_ab1_n24;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n24.wav;24;no_background;1;1;0;0;0;1;0;0;0;0;32.01219512195122;0.6738016598915989;441.5586;0.5494625523171643;0.93999946;1.524311419280893;66.36125850340136
Evascape_no_background_rich1_ab1_n25;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n25.wav;25;no_background;1;1;0;0;0;0;0;0;1;0;83.03163109756098;1.9275672667440962;340.14026;0.5890739402625346;0.57052535;1.1992927158572313;74.72617346938776
Evascape_no_background_rich1_ab1_n26;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n26.wav;26;no_background;1;1;1;0;0;0;0;0;0;0;24.009146341463413;1.4660535835269066;371.82346;0.49065397703704344;0.96375096;0.9754438041412835;69.7770918367347
Evascape_no_background_rich1_ab1_n27;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n27.wav;27;no_background;1;1;0;0;0;1;0;0;0;0;38.014481707317074;0.494443839527681;466.0995;0.5465509499450495;0.92181635;1.3957775027724464;61.423554421768706
Evascape_no_background_rich1_ab1_n28;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_no_background_rich1_ab1_n28.wav;28;no_background;1;1;0;0;0;0;0;1;0;0;86.0327743902439;2.4046197493224932;352.7804;0.5650405708968819;0.93588924;0.9422007664669929;56.889410430839
Evascape_ambient_sound_rich1_ab1_n1;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n1.wav;1;ambient_sound;1;1;0;0;1;0;0;0;0;0;97.03696646341463;0.6088109151180797;321.26184;0.8326238318309007;0.25379416;1.0564101120523326;36.53383219954649
Evascape_ambient_sound_rich1_ab1_n2;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n2.wav;2;ambient_sound;1;1;0;0;0;0;0;1;0;0;62.02362804878049;0.13939550667828107;301.49973;0.8528482903123672;0.08464966;0.5836556721623584;25.07328514739229
Evascape_ambient_sound_rich1_ab1_n3;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n3.wav;3;ambient_sound;1;1;0;0;0;0;0;0;0;1;120.04573170731707;0.8033294618660471;318.1773;0.9075492750559028;0.37518552;1.364008809583372;34.03892573696145
Evascape_ambient_sound_rich1_ab1_n4;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n4.wav;4;ambient_sound;1;1;0;0;0;1;0;0;0;0;0.0;0.001361062717770035;297.58966;0.9207413309498782;0.25269884;0.6184535774522971;23.554291383219955
Evascape_ambient_sound_rich1_ab1_n5;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n5.wav;5;ambient_sound;1;1;1;0;0;0;0;0;0;0;57.02172256097561;0.3609840785907859;307.09784;0.9152610887772543;0.34397584;0.9796709381497831;28.517108843537414
Evascape_ambient_sound_rich1_ab1_n6;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n6.wav;6;ambient_sound;1;1;0;1;0;0;0;0;0;0;4.001524390243903;0.0031380057104142467;298.02594;0.9208201421175332;0.25483823;0.6491025834111358;23.746693594104308
Evascape_ambient_sound_rich1_ab1_n7;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n7.wav;7;ambient_sound;1;1;0;0;0;0;0;0;1;0;49.0186737804878;0.22177760840108401;306.27765;0.8323072488094279;0.16075677;0.7014381773570245;31.60265306122449
Evascape_ambient_sound_rich1_ab1_n8;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n8.wav;8;ambient_sound;1;1;0;0;0;0;1;0;0;0;62.02362804878049;0.13243896389856757;298.70746;0.851868162174438;0.07607142;0.4883238847258912;24.20002267573696
Evascape_ambient_sound_rich1_ab1_n9;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n9.wav;9;ambient_sound;1;1;0;0;1;0;0;0;0;0;53.02019817073171;0.12911192169957414;307.31314;0.8305972388526807;0.1443426;0.5679905173652763;30.171680839002267
Evascape_ambient_sound_rich1_ab1_n10;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n10.wav;10;ambient_sound;1;1;1;0;0;0;0;0;0;0;40.015243902439025;1.1646916134339915;325.9216;0.7351474116848444;0.5305498;1.5990193137055784;45.28935941043084
Evascape_ambient_sound_rich1_ab1_n11;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n11.wav;11;ambient_sound;1;1;0;1;0;0;0;0;0;0;41.015625;0.7222706155632984;310.05145;0.8421291653269453;0.18278731;1.0973773243855405;31.06591836734694
Evascape_ambient_sound_rich1_ab1_n12;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n12.wav;12;ambient_sound;1;1;0;0;0;0;0;0;0;1;60.02286585365854;0.22729747386759583;304.848;0.9201225701456588;0.29068792;0.7738221161146865;27.077879818594106
Evascape_ambient_sound_rich1_ab1_n13;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n13.wav;13;ambient_sound;1;1;0;0;0;0;1;0;0;0;20.007621951219512;0.026351686507936508;302.4741;0.7649430078448718;-0.012865331;0.019652170944514106;28.87121315192744
Evascape_ambient_sound_rich1_ab1_n14;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n14.wav;14;ambient_sound;1;1;0;0;0;0;0;0;1;0;75.02858231707317;0.16752413617886178;305.54907;0.8316753789410184;0.14207472;0.6141340396355142;30.307556689342405
Evascape_ambient_sound_rich1_ab1_n15;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n15.wav;15;ambient_sound;1;1;0;0;0;1;0;0;0;0;13.004954268292682;0.08219306523422377;300.6179;0.9316014514061034;0.35133508;0.9777651377248274;24.071320861678004
Evascape_ambient_sound_rich1_ab1_n16;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n16.wav;16;ambient_sound;1;1;0;0;0;0;0;1;0;0;74.0282012195122;0.21289289343786297;300.5128;0.8765532080530324;0.15373686;0.5382510882817102;26.64781179138322
Evascape_ambient_sound_rich1_ab1_n17;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n17.wav;17;ambient_sound;1;1;0;0;0;0;0;0;0;1;62.02362804878049;0.4039331687959737;310.4626;0.9119433967177757;0.36400118;1.317230025186018;30.85034863945578
Evascape_ambient_sound_rich1_ab1_n18;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n18.wav;18;ambient_sound;1;1;0;1;0;0;0;0;0;0;16.00609756097561;0.062344233933410764;298.77234;0.8510464317802822;0.06984296;0.4266624030045401;23.881927437641725
Evascape_ambient_sound_rich1_ab1_n19;../Evascape_reconstructed_soundscapes/Database_20240606_Desync/Evascape_ambient_sound_rich1_ab1_n19.wav;19;ambient_sound;1;1;0;0;0;0;1;0;0;0;13.004954268292682;0.01531195557491289;297.515;0.9188369612424552;0.30092922;0.3881161743626183;24.822565192743763
